desc,valor,metraje,url,lat,lng
1 Ambiente en Aguada,U$S 59.500,22.0,https://www.gallito.com.uy/venta-casa-monoambiente-la-aguada-inmuebles-19102270,-34.88663,-56.18604
2 Dormitorios en Cerrito,U$S 60.000,66.0,https://www.gallito.com.uy/casa-de-planchada-y-apto-de-techo-liviano-si-bco-inmuebles-18568159,-34.84877,-56.18344
2 Dormitorios en La Teja,U$S 60.000,90.0,https://www.gallito.com.uy/casa-en-venta-inmuebles-19379649,-34.86992,-56.23285
2 Dormitorios en Cerrito,U$S 60.000,75.0,https://www.gallito.com.uy/casa-venta-cerrito-sobre-san-martin-inmuebles-17735350,-34.85472,-56.17319
2 Dormitorios en Paso De La Arena,U$S 60.000,50.0,https://www.gallito.com.uy/venta-casa-paso-de-la-arena-2-dormirtorios-inmuebles-20101262,-34.839,-56.27049
2 Dormitorios en Arroyo Seco,U$S 60.000,50.0,https://www.gallito.com.uy/casas-venta-montevideo-arroyo-seco-inmuebles-19498500,,
2 Dormitorios en Malvin Norte,U$S 60.000,51.0,https://www.gallito.com.uy/escriturada-sin-deuda-muy-mejorada-inmuebles-19825374,-34.87539,-56.1019
1 Dormitorio en Sayago,U$S 60.000,34.0,https://www.gallito.com.uy/casa-de-planchada-con-lugar-para-auto-inmuebles-19345512,-34.83922,-56.21409
3 Dormitorios en Cerrito,U$S 60.000,72.0,https://www.gallito.com.uy/oportunidad-buen-precio-casa-con-jardin-y-azotea-inmuebles-18948461,-34.85569,-56.17389
2 Dormitorios en Colon,U$S 60.000,70.0,https://www.gallito.com.uy/casa-en-venta-en-colon-inmuebles-15632682,-34.80972,-56.22764
1 Dormitorio en Aires Puros,U$S 60.000,70.0,https://www.gallito.com.uy/oportunidad-casa-de-1-dormitorio-a-1-cuadra-de-propios-inmuebles-15231571,,
2 Dormitorios en Cerrito,U$S 60.000,60.0,https://www.gallito.com.uy/cerrito-casa-en-esquina-2-dormitorios-inmuebles-20006935,-34.85357,-56.17061
2 Dormitorios en Otro,U$S 60.000,80.0,https://www.gallito.com.uy/[venta-nuda-propiedad]-venta-de-nuda-propiedad-con-usufruc-inmuebles-20026420,,
4 Dormitorios en Piedras Blancas,U$S 60.000,200.0,https://www.gallito.com.uy/terreno-de-1500-m²-con-2-casas-inmuebles-18574604,,
2 Dormitorios en Ituzaingo,U$S 60.000,59.0,https://www.gallito.com.uy/linda-casa-a-pasos-del-hipodromo-inmuebles-19385900,-34.84306,-56.14551
2 Dormitorios en Jacinto Vera,U$S 60.000,85.0,https://www.gallito.com.uy/nuda-propiedad-en-venta-usufructo-temporal-de-10-años-inmuebles-17715913,,
2 Dormitorios en Manga,U$S 61.000,59.0,https://www.gallito.com.uy/venta-casa-2-dorm-metros-avenida-belloni-patio-inmuebles-19297087,-34.80716,-56.13619
3 Dormitorios en Las Acacias,U$S 61.000,70.0,https://www.gallito.com.uy/bajo-de-precio-padron-unico-inmuebles-17516457,-34.8413,-56.15242
1 Dormitorio en Aires Puros,U$S 62.000,48.0,https://www.gallito.com.uy/ifer&olivera-mansavillagra-esq-propios-inmuebles-18488988,-34.85244,-56.18261
4 Dormitorios en Cno. Maldonado,U$S 62.000,92.0,https://www.gallito.com.uy/2-casas-en-mismo-padron-en-cno-maldonado-km-19-inmuebles-15701377,-34.78468,-56.06195
2 Dormitorios en Villa Española,U$S 62.000,80.0,https://www.gallito.com.uy/larravide-y-agaces-inmuebles-12784661,,
2 Dormitorios en Nuevo Paris,U$S 62.000,95.0,https://www.gallito.com.uy/oportunidad-texera-y-coronilla-prox-a-garzon-inmuebles-16821244,-34.84077,-56.22421
1 Dormitorio en J. Hipodromo,U$S 63.000,107.0,https://www.gallito.com.uy/casa-y-2-aptos-a-reciclar-en-locarno-y-acropolis-inmuebles-16390314,-34.83764,-56.13027
2 Dormitorios en La Teja,U$S 63.000,90.0,https://www.gallito.com.uy/con-patio-cocina-office-cparrillero-la-teja-proximo-a-inmuebles-19353238,-34.87,-56.23099
2 Dormitorios en Maroñas,U$S 63.000,,https://www.gallito.com.uy/ruben-dario-casi-itazurubi-flor-de-maroñas-inmuebles-19404470,,
2 Dormitorios en Union,U$S 63.000,67.0,https://www.gallito.com.uy/vende-casa-2-dormitorios-y-azotea-a-reciclar-ideal-renta-inmuebles-18603770,-34.87166,-56.13866
2 Dormitorios en Nuevo Paris,U$S 64.000,,https://www.gallito.com.uy/casa-de-techo-liviano-con-gran-terreno-para-reciclar-inmuebles-19813703,-34.90721,-56.19027
3 Dormitorios en Peñarol,U$S 64.000,70.0,https://www.gallito.com.uy/casa-en-alquiler-yo-venta-inmuebles-19398338,-34.81558,-56.20744
3 Dormitorios en Otro,U$S 64.500,81.0,https://www.gallito.com.uy/casa-3-dormitorios-recien-reciclada-inmuebles-18678088,-34.85268,-56.1577
1 Dormitorio en La Comercial,U$S 64.500,33.0,https://www.gallito.com.uy/venta-apartamento-con-patio-1-dormitorio-la-comercial-inmuebles-19985020,-34.88371,-56.18104
